BoursoramaDecouverte; 0 500 1.99 501 0.6
BoursoramaClassic; 0 1000 5.5 1000.01 0.48
BoursoramaTrader; 3500 7750 16.65 7750.01 0.22
BoursoramaUltimateTrader; 0 10000 9.90 10000.01 0.12
FortuneOptimum; 0 500 1.95 500.01 2000 3.90 2000.01 0.2
